time,close,Plot
1514385000,156.54,23.90936463532972
1514471400,156.73,23.84861437740696
1514557800,155.76,23.91823763917368
1514903400,158.49,23.80605165508838
1514989800,160.03,24.072033953264
1515076200,160.31,24.01402945429394
1515162600,161.92,24.09232876120392
1515421800,162.55,24.08251771765266
1515508200,162.56,24.03721112970595
1515594600,162.18,24.01174189094547
1515681000,163.29,24.089641028803136
1515767400,164.49,24.18249333723395
1516113000,164.02,24.42071104670986
1516199400,165.79,24.4137973816015
1516285800,165.82,24.31459778110066
1516372200,166.34,24.376007108271338
1516631400,168.12,24.40100311505742
1516717800,169.51,24.41930662795968
1516804200,168.41,24.45727136761999
1516890600,168.35,24.60617782547988
1516977000,170.93,24.64860030169344
1517236200,170.1,24.714959822365667
1517322600,168.7,24.65213701086545
1517409000,169.4,24.66776896796556
1517495400,167.96,24.579294973468077
1517581800,164.61,24.6512222808968
1517841000,158.12,24.528578830196683
1517927400,162.31,24.498062357775
1518013800,160.21,24.50826226245476
1518100200,153.45,24.517188154882763
1518186600,156.1,24.491047778817
1518445800,158.87,24.50657444377356
1518532200,159.69,24.523772391205316
1518618600,162.68,24.570144118010038
1518705000,165.7,24.731050994488957
1518791400,164.96,24.82306092327732
1519137000,165.29,24.748651756330762
1519223400,164.82,24.66076685858064
1519309800,164.8,24.554854218587963
1519396200,168.17,24.643446178467045
1519655400,170.4,24.67065807362368
1519741800,168.29,24.710402246006918
1519828200,167.21,24.61679300512264
1519914600,164.48,24.74478113632868
1520001000,165.99,24.8018416413751
1520260200,167.83,24.875386059722203
1520346600,168.54,24.863370251037797
1520433000,168.93,24.95630154447048
1520519400,169.86,24.947425167073316
1520605800,173.16,24.86254155413646
1520861400,174.08,24.87255752254946
1520947800,171.71,24.90801743663496
1521034200,171.68,24.945343400971158
1521120600,171.53,24.892160663763097
1521207000,171.02,24.839867656908382
1521466200,167.1,24.830971525745678
1521552600,167.65,24.85621303337708
1521639000,166.92,24.770517450833438
1521725400,162.8,24.810461009024344
1521811800,158.51,24.80264150648832
1522071000,164.4,24.88184425297488
1522157400,159.08,24.94608714199034
1522243800,157.25,24.900411888714984
1522330200,160.13,24.74612829297854
1522675800,155.51,24.77192308020024
1522762200,157.26,24.78333767873619
1522848600,159.74,24.71116825381101
1522935000,160.65,24.71135401971999
1523021400,156.63,24.653916438344442
1523280600,157.73,24.68917653232599
1523367000,161.21,24.68307128867723
1523453400,160.28,24.688603203283083
1523539800,162.21,24.740954591570453
1523626200,161.37,24.66490878475626
1523885400,162.6,24.699429871210622
1523971800,166.1,24.747009920043524
1524058200,166.44,24.73282126531817
1524144600,164.91,24.749618261730017
1524231000,162.3,24.708328311946026
1524490200,161.89,24.629252138960172
1524576600,158.46,24.497605044929692
1524663000,158.65,24.519535838555743
1524749400,161.99,24.32381968505803
1524835800,162.09,24.288859668099814
1525095000,160.94,24.338938646741372
1525181400,162.78,24.26065499468244
1525267800,161.82,24.18184248816544
1525354200,161.8,24.05990380619636
1525440600,164.87,24.13167452263762
1525699800,166.24,24.118048024582322
1525786200,166.07,24.0798026637583
1525872600,167.88,24.04339361932052
1525959000,169.62,24.05679478010526
1526045400,169.46,24.141521846583263
1526304600,169.75,24.164460275863263
1526391000,167.87,24.137807943074762
1526477400,168.98,24.00781618718722
1526563800,168.33,24.003953122974398
1526650200,167.46,23.97514184071364
1526909400,168.4,23.93115506194512
1526995800,168.18,23.95012496572082
1527082200,169.6,23.982254749951398
1527168600,169.55,23.97811412022056
1527255000,169.72,24.02025301119782
1527600600,168.97,23.93122829658406
1527687000,170.18,23.901127611867057
1527773400,170.07,23.94992982213252
1527859800,172.74,24.097130646447287
1528119000,174.3,24.054295029283917
1528205400,174.84,24.08015752488966
1528291800,175.86,24.09019527266582
1528378200,174.43,24.11834869721635
1528464600,174.44,24.138748053058627
1528723800,174.91,24.17380811227504
1528810200,175.83,24.14882495242158
1528896600,175.82,24.11587450470291
1528983000,177.6,24.16375072358752
1529069400,176.98,23.997716530093882
1529328600,176.5,23.99127577579328
1529415000,176,23.996005183237017
1529501400,177.25,23.95569127077612
1529587800,175.71,23.85298097583355
1529674200,175.32,23.87733407252121
1529933400,171.37,23.904796530737794
1530019800,172.07,23.897964508647007
