time,open,high,low,close,Plot,Volume
1608820200,301.35158708,302.86581848,301.2734332,302.41643368,32.63344375990161,16784997
1609165800,305.04435785,305.94312746,303.19797247,305.46443495,32.65321257422459,22497745
1609252200,306.80282012,307.42316653,304.82943468,305.73797352,32.6587438027045,25871925
1609338600,306.9102817,307.23266645,305.12251173,305.74774276,32.72274268171,18138071
1609425000,305.65005041,306.98843558,304.56566534,306.49997384,32.77857347767039,21611412
1609770600,307.83835901,308.01420524,298.13750882,302.17220281,32.74141115966468,45305898
1609857000,301.17574085,304.93689627,301.17574085,304.66335769,32.80532866401346,29323409
1609943400,299.91550956,304.68289616,298.91904761,300.44304824,32.8932907202809,52809622
1610029800,303.11981859,308.55151316,303.09051088,307.71135896,32.78468404162236,30394826
1610116200,310.01689838,312.01959153,307.810419,311.66789907,32.638851701960284,33955847
1610375400,308.68828245,309.87035986,306.50974308,307.16428181,32.60662465752913,32869095
1610461800,307.20335875,308.29751305,304.01858819,306.67582007,32.50110703518475,29266762
1610548200,306.93958941,309.54797511,306.33389685,308.74689785,32.64921683181155,22898417
1610634600,309.19628266,310.20251385,306.61876774,307.09589717,32.67636522909604,23500129
1610721000,306.880974,307.84812825,303.41289563,304.66335769,32.702133175050115,35118718
1611066600,306.99820482,309.61635976,305.89428128,309.10835954,32.62858347438906,24537049
1611153000,312.75228414,317.24613216,309.20507497,316.29851639,32.66862585000619,30728096
1611239400,317.64667079,319.58097929,316.25943945,318.82874821,32.75489068541762,25316935
1611325800,317.78344008,318.92644056,317.21682446,317.91044013,32.80579807086779,21609444
1611585000,321.31990309,322.6973652,313.99297696,320.53836431,32.74376921439543,39080644
1611671400,321.26128768,322.15028805,319.6689024,321.00728758,32.71611061741911,25498112
1611757800,318.73105586,318.74082509,310.03643685,312.05866847,32.783516643209765,55263985
1611844200,313.27005359,318.88736362,312.64482256,313.90505385,32.65906993355186,42836324
1611930600,312.20520699,313.31821591,305.54258883,307.3010511,32.68561818402106,55259018
1612189800,310.76912947,316.07382398,308.72735938,314.97966968,32.82962915362433,35646008
1612276200,317.96905554,321.28082615,317.80297855,320.11828721,32.71749042511606,33930844
1612362600,322.20890346,322.57524977,318.78967127,318.84828668,32.728228090915444,24824518
1612449000,320.2550565,322.70713444,318.92644056,322.61921133,32.751975623121666,22350947
1612535400,323.57659634,324.73180836,321.92559565,323.71336563,32.6343047796901,22731960
1612794600,325.41321249,326.03844352,323.7622118,325.88213576,32.77339088940231,20462812
1612881000,324.94428922,327.08375165,324.93451998,325.81375112,32.804298448204506,17597478
1612967400,327.25959787,327.71875191,321.89628795,325.07128927,32.934533540261285,28068700
1613053800,326.61482838,327.26936711,324.45582748,326.85905925,32.96682640043062,22046071
1613140200,326.00913582,328.85198315,324.95405845,328.68590616,32.9745799888927,20346819
1613485800,329.48698342,330.38575302,326.62459761,327.79690579,32.97557900984998,27080777
1613572200,324.7977507,327.91120584,322.55082668,326.22405898,32.906870442099525,31467456
1613658600,322.60944209,326.16163357,320.78259518,324.7977507,33.01427159919638,32236240
1613745000,326.15567434,326.28267439,322.35544199,323.38121164,33.047331855035694,39157677
1614004200,318.9655175,320.23551803,314.79405422,314.99920815,33.14754643078439,47256944
1614090600,309.6847444,315.74167,303.8232035,314.06136161,33.18455457253065,97241936
1614177000,311.38459126,316.96282435,308.66874398,316.65020884,33.174218847499766,58206272
1614263400,313.97343849,316.55251649,304.05766513,305.61097347,33.242365617142866,110182582
1614349800,308.56128239,311.74605295,303.70597268,306.89074324,33.16061576558188,104739841
1614609000,311.90236071,316.46459338,310.59816786,316.12267016,32.97021652433644,49164518
1614695400,316.76743966,316.84559354,310.79843717,311.05243728,32.96121370938574,48370034
1614781800,309.94851374,310.89612952,301.96704888,302.02566429,32.991523467342745,86301073
1614868200,301.65443336,304.83920392,293.18450676,297.08243146,33.04251169249589,139131582
1614954600,299.71524025,302.46430293,290.58589029,301.55674101,32.87472847122905,121523726
1615213800,301.00966386,302.90489542,292.59835267,293.01842976,32.78901054192783,88409781
1615300200,300.3746636,306.49020461,299.83735568,304.57543458,32.644070817893386,80391114
1615386600,308.86412867,309.16697495,303.012357,303.70597268,32.76535986101573,76798065
1615473000,308.48312851,312.47874556,307.58435891,310.70074482,32.915294771213944,53484804
1615559400,306.61720466,310.88655567,304.20518058,308.18028223,32.99038479780581,69315601
1615815000,308.50266698,311.63859137,306.84678168,311.47251437,32.92526302452202,43123176
1615901400,313.68036145,316.71859348,311.73628372,313.18213047,32.91579120050492,54925896
1615987800,310.12435997,316.37667026,308.3952054,314.47166947,32.90448184342505,78258729
1616074200,309.55774435,310.54453476,304.38004988,304.83920392,33.19689727470856,82942269
1616160600,304.67312693,307.46712809,302.51422372,305.91381975,33.09407007896652,78446204
1616419800,308.32466068,313.73386526,308.32466068,311.65039225,33.11763106266569,56194755
1616506200,312.74592735,314.07621998,309.46421282,310.29075493,33.14633776473562,53455411
1616592600,311.66995537,311.70908163,304.91089505,305.0576185,33.044167262754335,64803729
1616679000,303.19716514,306.05044719,300.67538027,304.52941407,33.2133478430065,78729008
1616765400,304.31421968,309.42019579,302.90567455,309.09740419,33.1506667309251,63519634
1617024600,308.5594182,310.06577897,305.6445123,309.00937012,33.54491591680776,54607963
1617111000,307.03349431,308.03121378,304.73482691,307.45410154,33.451327807323786,44635676
1617197400,309.25390921,313.73386526,308.91155449,312.15903354,33.302450673439324,55032535
1617283800,316.01296953,317.61714593,315.75864888,317.48020405,33.34487132892579,55685602
1617629400,319.98428428,324.59140066,317.5462296,323.81865715,33.332204171821466,42172475
1617715800,323.50564712,325.55977543,322.81115611,323.59368119,33.55861161999757,33537210
1617802200,323.11438458,325.21742071,322.17535449,324.37620626,33.64334783109924,32046381
1617888600,327.25198591,327.94647691,326.44979989,327.76062721,33.631987326655846,29940799
1617975000,326.39120833,329.95169741,325.64780951,329.74628458,33.72437285073067,36664892
1618234200,328.69965729,329.73650302,327.41827249,329.31589579,33.68225060781682,25833013
1618320600,330.85160125,333.62956526,330.63640685,333.16005022,33.710733795259756,30374033
1618407000,333.4045893,333.53174963,328.33773945,329.15939077,33.77291901932001,42564337
1618493400,332.05473355,334.53925066,328.8711281,334.14798812,34.00476899948839,36342821
1618579800,334.67619255,334.75444505,332.65140892,334.53925066,34.038435901653,40860099
